,weights,trough,expansion,peak,contraction,all_data
30,"{'Bollinger': 0.16666666666666666, 'RSI': 0.4999999999999999, 'MACD': 0.3333333333333333}",-0.2555244132609316,8.598786397461609,11.934290352734267,-9.601999500776747,4.519791730388477
31,"{'Bollinger': 0.14285714285714288, 'RSI': 0.4285714285714286, 'MACD': 0.4285714285714286}",-0.8916164514502757,8.034249284235283,10.41533926404281,-11.391151245202058,3.831434700934869
32,"{'Bollinger': 0.6666666666666667, 'RSI': 0.16666666666666669, 'MACD': 0.16666666666666669}",1.162841721446348,5.662033904012903,8.702027841975493,-4.341744748807838,3.2308136804647463
33,"{'Bollinger': 0.5714285714285715, 'RSI': 0.14285714285714288, 'MACD': 0.28571428571428575}",0.15874896320598514,7.156673237640103,9.750728170748971,-6.933201198669647,3.906343696069463
34,"{'Bollinger': 0.4444444444444445, 'RSI': 0.11111111111111112, 'MACD': 0.4444444444444445}",1.0343378391735643,10.514467887235591,12.753072386989828,-13.260845019255969,5.808255956336998
35,"{'Bollinger': 0.36363636363636365, 'RSI': 0.09090909090909091, 'MACD': 0.5454545454545454}",10.774603280300836,19.13500800715386,22.37196221546766,-26.00292558812976,10.869074279049348
36,"{'Bollinger': 0.5714285714285714, 'RSI': 0.2857142857142857, 'MACD': 0.14285714285714285}",1.3019256338209346,7.115554340981182,11.013964819024459,-5.423455627151638,4.017786326620921
37,"{'Bollinger': 0.5, 'RSI': 0.25, 'MACD': 0.25}",-0.20190531973397038,5.727365713230257,8.330499541322013,-5.113979749382938,3.1635838609660043
38,"{'Bollinger': 0.4, 'RSI': 0.2, 'MACD': 0.4}",-0.2924584698990044,8.358901268279405,10.641568147811743,-10.12637238906035,4.513075896208604
39,"{'Bollinger': 0.3333333333333333, 'RSI': 0.16666666666666666, 'MACD': 0.4999999999999999}",2.3456186739153853,12.694232517360671,15.113220182263776,-17.877368427822137,6.733719427920703
40,"{'Bollinger': 0.4444444444444445, 'RSI': 0.4444444444444445, 'MACD': 0.11111111111111112}",1.3112710892014297,9.794253277186236,15.620171493258756,-7.272776970823253,5.405091570605419
41,"{'Bollinger': 0.4, 'RSI': 0.4, 'MACD': 0.2}",0.48762646927049064,7.746005485543799,11.66146859239824,-6.508305791893116,4.33163915438519
42,"{'Bollinger': 0.3333333333333333, 'RSI': 0.3333333333333333, 'MACD': 0.3333333333333333}",-1.2070094576370478,5.920391331725383,8.244365640034825,-6.434215981328382,3.1646567125996614
43,"{'Bollinger': 0.28571428571428575, 'RSI': 0.28571428571428575, 'MACD': 0.4285714285714286}",-0.2627322613698049,8.834560350104182,11.170701105344982,-11.657607351234653,4.530013060839692
44,"{'Bollinger': 0.36363636363636365, 'RSI': 0.5454545454545454, 'MACD': 0.09090909090909091}",1.2007717519123984,12.094266582295683,19.855863031609882,-8.757691874049975,6.563416744536318
45,"{'Bollinger': 0.33333333333333337, 'RSI': 0.5, 'MACD': 0.16666666666666669}",0.7641622413856056,9.643764160555445,14.996411797044294,-7.732655575212926,5.354383271715258
46,"{'Bollinger': 0.28571428571428575, 'RSI': 0.4285714285714286, 'MACD': 0.28571428571428575}",-0.469736442399252,7.1380638798524165,10.280403580468192,-7.123411223916457,3.9494988165056366
47,"{'Bollinger': 0.25, 'RSI': 0.37499999999999994, 'MACD': 0.37499999999999994}",-1.2044187010684781,6.739875429639671,9.063406694080255,-8.190898050726036,3.4223013465521253
48,"{'Bollinger': 0.75, 'RSI': 0.12500000000000003, 'MACD': 0.12500000000000003}",1.997197750575277,5.651221222569874,8.984333650229155,-4.1140513564594965,3.2862443200202978
49,"{'Bollinger': 0.6666666666666667, 'RSI': 0.11111111111111113, 'MACD': 0.22222222222222227}",0.7586985801967413,6.716635272524521,9.593011286484359,-5.799140553711289,3.69633222548528
50,"{'Bollinger': 0.5454545454545454, 'RSI': 0.09090909090909091, 'MACD': 0.36363636363636365}",0.5907075299731311,8.976188409819697,11.338129663967523,-9.906472165996577,4.939261003084962
51,"{'Bollinger': 0.46153846153846156, 'RSI': 0.07692307692307694, 'MACD': 0.46153846153846156}",1.7361584189217318,11.488571761046579,13.712932313217522,-14.631249779125186,6.41373526172699
52,"{'Bollinger': 0.6666666666666666, 'RSI': 0.22222222222222224, 'MACD': 0.11111111111111112}",1.9043460872776359,6.775868625377566,10.736977473543028,-4.946113511534684,3.874928955418798
53,"{'Bollinger': 0.6, 'RSI': 0.2, 'MACD': 0.2}",0.5770451641218508,5.677916421958841,8.519606814888206,-4.593881966605913,3.1965812137679603
54,"{'Bollinger': 0.4999999999999999, 'RSI': 0.16666666666666666, 'MACD': 0.3333333333333333}",-0.14028373624848117,7.58325971860242,10.014084945196185,-8.056167597707033,4.118742955813765
55,"{'Bollinger': 0.4285714285714286, 'RSI': 0.14285714285714288, 'MACD': 0.4285714285714286}",0.4831707993040364,9.68657613974208,11.940138134840497,-12.072888055665203,5.302976152587228
56,"{'Bollinger': 0.5454545454545454, 'RSI': 0.36363636363636365, 'MACD': 0.09090909090909091}",1.7125151752724177,8.901264366879062,14.276290976094886,-6.459731577305268,4.952434024212522
57,"{'Bollinger': 0.5, 'RSI': 0.33333333333333337, 'MACD': 0.16666666666666669}",0.9206224980467169,7.372910953609407,11.260072057951614,-5.836621081050885,4.1393276168099185
58,"{'Bollinger': 0.4285714285714286, 'RSI': 0.28571428571428575, 'MACD': 0.28571428571428575}",-0.6848489338749156,5.79245581145271,8.259189274257468,-5.6027690952785925,3.1550870204074815
59,"{'Bollinger': 0.37499999999999994, 'RSI': 0.25, 'MACD': 0.37499999999999994}",-0.7678376397157298,7.350051665110022,9.655294162288925,-8.613615284068837,3.9348067421880155
60,"{'Bollinger': 0.4615384615384615, 'RSI': 0.4615384615384615, 'MACD': 0.07692307692307693}",1.533665420788414,10.801103931099655,17.64666571455419,-7.7360755932705505,5.897499620222802
61,"{'Bollinger': 0.4285714285714286, 'RSI': 0.4285714285714286, 'MACD': 0.14285714285714288}",1.0485567957900888,8.976884512690388,14.014054357186494,-6.9305384848613585,4.989158064530826
62,"{'Bollinger': 0.37499999999999994, 'RSI': 0.37499999999999994, 'MACD': 0.25}",-0.10400816044434856,6.904357108573225,10.089660576445231,-6.344872150046798,3.83809070123194
63,"{'Bollinger': 0.33333333333333337, 'RSI': 0.33333333333333337, 'MACD': 0.33333333333333337}",-1.207009457637039,5.920391331725398,8.244365640034827,-6.434215981328381,3.164656712599675
