Date,XLB,XLI,XLF,XLK,XLY,XLP,XLE,XLV,VOX,XLU,IYR
2008-09-09,Buy,Buy,nan,nan,nan,nan,Buy,nan,nan,Buy,nan
2008-09-10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-09-11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-09-12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-09-15,nan,Buy,Buy,Buy,nan,nan,nan,Buy,Buy,nan,nan
2008-09-16,nan,nan,nan,nan,nan,nan,nan,nan,Buy,nan,nan
2008-09-17,nan,Buy,Buy,Buy,Buy,nan,nan,Buy,Buy,Buy,nan
2008-09-18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-09-19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Sell
2008-09-22,nan,nan,nan,nan,Buy,nan,nan,nan,nan,nan,nan
2008-09-23,nan,nan,nan,nan,Buy,Buy,nan,Buy,nan,nan,nan
2008-09-24,nan,nan,nan,nan,Buy,nan,nan,nan,nan,nan,nan
2008-09-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-09-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2008-09-29,Buy,nan,nan,Buy,Buy,Buy,Buy,nan,nan,nan,nan
2008-09-30,Buy,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
