Date,XLB,XLI,XLF,XLK,XLY,XLP,XLE,XLV,VOX,XLU,IYR
2019-11-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-11-27,nan,nan,nan,nan,Sell,nan,nan,nan,nan,nan,nan
2019-11-29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-02,nan,Buy,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-03,nan,Buy,nan,nan,nan,nan,Buy,nan,nan,nan,nan
2019-12-04,nan,Buy,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-06,nan,nan,Sell,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-12,Sell,nan,Sell,Sell,nan,nan,Sell,nan,nan,nan,Buy
2019-12-13,nan,nan,nan,Sell,nan,nan,nan,nan,nan,nan,Buy
2019-12-16,nan,nan,nan,Sell,nan,nan,Sell,Sell,Sell,Sell,nan
2019-12-17,nan,nan,nan,nan,nan,nan,nan,nan,nan,Sell,nan
2019-12-18,nan,nan,nan,nan,nan,nan,nan,nan,Sell,Sell,nan
2019-12-19,nan,nan,nan,nan,nan,nan,nan,nan,Sell,Sell,nan
2019-12-20,nan,nan,nan,nan,nan,Sell,nan,Sell,Sell,Sell,nan
2019-12-23,nan,nan,nan,nan,nan,nan,Sell,Sell,Sell,nan,nan
2019-12-24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-26,nan,nan,nan,nan,Sell,nan,nan,nan,Sell,nan,nan
2019-12-27,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-12-31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-02,nan,Sell,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-13,nan,nan,nan,Sell,nan,nan,nan,nan,nan,nan,nan
2020-01-14,nan,nan,nan,nan,nan,nan,nan,nan,nan,Sell,nan
2020-01-15,nan,nan,nan,nan,nan,Sell,nan,Sell,nan,Sell,nan
2020-01-16,nan,Sell,nan,Sell,nan,Sell,nan,Sell,Sell,Sell,Sell
2020-01-17,nan,nan,nan,Sell,nan,Sell,nan,Sell,Sell,Sell,Sell
2020-01-21,nan,nan,nan,nan,nan,Sell,Buy,Sell,nan,Sell,Sell
2020-01-22,nan,nan,nan,nan,nan,nan,Buy,nan,nan,Sell,nan
2020-01-23,nan,nan,nan,nan,nan,nan,Buy,nan,nan,Sell,nan
2020-01-24,nan,nan,Buy,nan,nan,nan,Buy,nan,nan,Sell,nan
2020-01-27,Buy,nan,Buy,nan,Buy,nan,Buy,nan,nan,nan,nan
2020-01-28,nan,nan,nan,nan,nan,nan,Buy,nan,nan,nan,nan
2020-01-29,nan,nan,nan,nan,nan,nan,Buy,nan,nan,nan,nan
2020-01-30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020-01-31,Buy,Buy,Buy,nan,nan,nan,Buy,Buy,nan,nan,nan
